elec_buy.emission_factor,elec_sell.emission_factor,elec_buy.variable_costs,elec_sell.variable_costs,weather.temperature,pv.fix,demand_heat.fix,dhs.temp_forward,dhs.temp_return,dhs_loss.fix,t_hp_air.eff_out_1,t_hp_air.max,t_hp_geo.eff_out_1,t_hp_ely.eff_out_1,t_hp_ely.eff_in_2,demand_elec.fix
0.27045636,-0.27045636,0.18,-0.04,2.2,0,856.2688076,65,45,44.60534634,2.043438296,0.670352825,3.11098,11.40692667,10.40692667,60.29327896
0.244512874,-0.244512874,0.18,-0.04,2.2,0,1157.063838,65,45,44.60534634,2.043438296,0.670352825,3.11098,11.40692667,10.40692667,65.42915584
0.240455587,-0.240455587,0.18,-0.04,2.4,0,1157.819139,65,45,44.60534634,2.049966853,0.672923688,3.11098,11.40692667,10.40692667,57.53263642
0.238484002,-0.238484002,0.18,-0.04,2.4,0,1160.35624,65,45,44.60534634,2.049966853,0.672923688,3.11098,11.40692667,10.40692667,54.46576671
0.229809934,-0.229809934,0.18,-0.04,2.6,0,1140.126293,65,45,44.60534634,2.05653726,0.675512685,3.11098,11.40692667,10.40692667,54.96542648
0.223386775,-0.223386775,0.18,-0.04,2.1,0,1108.651831,65,45,44.60534634,2.040189587,0.669074136,3.11098,11.40692667,10.40692667,56.77853811
0.215818206,-0.215818206,0.18,-0.04,2.1,0,1082.332211,65,45,44.60534634,2.040189587,0.669074136,3.11098,11.40692667,10.40692667,61.22607099
0.210645995,-0.210645995,0.18,-0.04,1.9,0,1103.671553,65,45,44.60534634,2.033723059,0.666530129,3.11098,11.40692667,10.40692667,65.85746252
0.207432837,-0.207432837,0.18,-0.04,2.3,0,1203.875411,65,45,44.60534634,2.046697368,0.671636002,3.11098,11.40692667,10.40692667,76.55152035
0.212552103,-0.212552103,0.18,-0.04,2.6,0.070820704,1371.305837,65,45,44.60534634,2.05653726,0.675512685,3.11098,11.40692667,10.40692667,97.61280172
0.207146137,-0.207146137,0.18,-0.04,2.8,0.134377687,1384.264358,65,45,44.60534634,2.06314992,0.678120002,3.11098,11.40692667,10.40692667,124.2309915
0.198197393,-0.198197393,0.18,-0.04,2.6,0.165591005,1274.300786,65,45,44.60534634,2.05653726,0.675512685,3.11098,11.40692667,10.40692667,138.7050547
0.198302944,-0.198302944,0.18,-0.04,2.2,0.190053491,1151.550387,65,45,44.60534634,2.043438296,0.670352825,3.11098,11.40692667,10.40692667,123.6317636
0.197970277,-0.197970277,0.18,-0.04,2.2,0.112466046,1096.606569,65,45,44.60534634,2.043438296,0.670352825,3.11098,11.40692667,10.40692667,110.9664889
0.197990484,-0.197990484,0.18,-0.04,2.1,0.044971276,1100.795822,65,45,44.60534634,2.040189587,0.669074136,3.11098,11.40692667,10.40692667,113.4766856
0.200320195,-0.200320195,0.18,-0.04,1.8,0.011631644,1101.616265,65,45,44.60534634,2.030505142,0.665264766,3.11098,11.40692667,10.40692667,147.2836762
0.195515191,-0.195515191,0.18,-0.04,1.5,0,1079.803965,65,45,44.60534634,2.020912205,0.66149497,3.11098,11.40692667,10.40692667,146.3452194
0.194707538,-0.194707538,0.18,-0.04,0.8,0,1056.354191,65,45,44.60534634,1.998877336,0.65284936,3.11098,11.40692667,10.40692667,153.0703095
0.193848774,-0.193848774,0.18,-0.04,0.1,0,1029.245695,65,45,44.60534634,1.977317797,0.644408678,3.11098,11.40692667,10.40692667,137.6561639
0.196078731,-0.196078731,0.18,-0.04,0.8,0,994.9864294,65,45,44.60534634,1.998877336,0.65284936,3.11098,11.40692667,10.40692667,125.0377091
0.197731111,-0.197731111,0.18,-0.04,1.1,0,1020.787855,65,45,44.60534634,2.008261737,0.656529109,3.11098,11.40692667,10.40692667,110.4618812
0.200465535,-0.200465535,0.18,-0.04,1.1,0,1066.273607,65,45,44.60534634,2.008261737,0.656529109,3.11098,11.40692667,10.40692667,102.163269
0.203740062,-0.203740062,0.18,-0.04,0.9,0,1112.228259,65,45,44.60534634,2.00199571,0.654071734,3.11098,11.40692667,10.40692667,83.50957676
0.204361439,-0.204361439,0.18,-0.04,0.8,0,1144.32458,65,45,44.60534634,1.998877336,0.65284936,3.11098,11.40692667,10.40692667,68.00669011
0.212331606,-0.212331606,0.18,-0.04,1.1,0,1177.834538,65,45,44.60534634,2.008261737,0.656529109,3.11098,11.40692667,10.40692667,60.08794901
